Come gestire la fase di test in un contesto di esecuzione agile con iterazioni brevi,Posticipare tutti i test a fine progetto,Testare in modo incrementale a ogni iterazione integrando feedback rapidi,Rinunciare ai test automatizzati,Concedere al fornitore un bonus extra,B
Cosa succede se il project manager non aggiorna il piano di esecuzione quando vengono approvati cambi di scope significativi,Si accelera la chiusura,La differenza tra piano e realta cresce causando confusione e potenziali errori,Si riducono i costi,Si ottiene un advanced sign off,B
Qual e lo scopo di prevedere attivita di collaudo parziale nella fase di esecuzione,Diminuire la copertura dei test,Rilevare tempestivamente difetti e mancanze cosi da intervenire prontamente,Aumentare i costi senza benefici,Bloccare il committente nella definizione dei requisiti,B
Come si comporta il project manager se il team propone un miglioramento che incide sul budget ma riduce i tempi,Lo ignora,Lo approva senza consultare nessuno,Lo valuta con un analisi costi benefici e informa gli stakeholder per decisione finale,Sostituisce l intero team con consulenti esterni,C
Perche e consigliabile tracciare ogni feedback proveniente dal cliente in un repository durante l esecuzione,Per svelarli in fase di chiusura,Per eclissare il ruolo dello sponsor,Per garantire che nessuna indicazione vada persa e si possano gestire in modo sistematico,Per ridurre i test finali,C
Se la formazione programmata non puo avvenire per vincoli di calendario come reagire,Si annulla la differenza di skill,Si prosegue ugualmente penalizzando la qualita,Si cerca una soluzione alternativa come sessioni accelerate o risorse piu esperte,Si ristruttura l intero project charter,C
Durante l esecuzione come si valuta l efficacia dei meeting periodici con il team,Riscontrando se le milestone vengono saltate,Utilizzando feedback continuo sul contenuto e la durata e analizzando se risolvono ostacoli,Bloccando le riunioni per mancanza di tempo,Non e possibile valutarli,B
Cosa accade se il fornitore principale subisce un ritardo sostanziale e lo comunica tardi,Si risolve automaticamente in controllo,Il progetto subisce uno slittamento di milestone e vanno valutate azioni di recupero,Non ci sono impatti se il team e specializzato,Si riduce la qualita dei deliverable,B
Perche una definizione chiara di priorita nei task e essenziale in esecuzione,Per penalizzare i manager funzionali,Perche i deliverable escono dall ambito,Per evitare che risorse lavorino su attivita marginali trascurando quelle critiche,Per anticipare la chiusura del progetto,C
Se le ispezioni periodiche mostrano standard qualitativi piu alti del previsto come reagire,Chiedere di abbassare lo standard,Effettuare un analisi del perche e valutare se sono disponibili margini di miglioramento altrove,Eliminare i test,Ignorare i risultati di ispezione,B
Che effetto ha una mancata definizione di come gestire i conflitti di priorita nel team,Evita discussioni interne,Potrebbe portare a rallentamenti e a un clima di tensione che ostacola la consegna dei deliverable,Favorisce la condivisione di compiti,Consente di chiudere in anticipo,B
In caso di forti discrepanze tra i deliverable sviluppati e i documenti di specifica come si procede,Si ignora la discrepanza,Si consegna ugualmente,Riesaminare i requisiti e avviare una correzione se necessario,Si contatta un ente esterno per la definizione del budget,C
Come si struttura una assegnazione efficace di ruoli e responsabilita in un team multidisciplinare,Si lascia liberta assoluta,Si usa una matrice RACI e si condivide con tutto il team e gli stakeholder coinvolti,Si nominano due project manager,Si rinuncia alla definizione di competenze,B
Che succede se nella fase di esecuzione si azzerano i fondi per le attivita di controllo qualita,Si punta tutto sui test finali,Si subappalta la qualita a un fornitore ignoto,La qualita rischia di degradare e i difetti potrebbero essere scoperti tardi,Si sblocca un bonus automatico,C
Perche e utile un coaching continuo su nuove procedure di lavoro nei momenti cruciali di esecuzione,Per elevare i costi del progetto,Per bloccare gli stakeholder secondari,Per assicurare che il team applichi correttamente le metodologie evitando errori ricorrenti,Per non dover definire la baseline,B
Come occuparsi di un fornitore che fornisce componenti con latenze ripetute ma si dice sicuro di rispettare la scadenza finale,Chiudere subito il contratto,Programmare verifiche intermedie piu stringenti,Eliminare le milestone contrattuali,Spiegare al team di ignorare i ritardi,B
Se il committente vuole cambiare la funzionalita principale in corso d opera senza revisione di costi come reagisce il project manager,Concede l aggiornamento immediatamente,Ignora la richiesta,Richiede una valutazione d impatto e negozia eventuali variazioni di budget o tempi,Chiede una riduzione della qualita per compensare,C
Perche la gestione documentale e cruciale durante l esecuzione di progetti complessi,Per ridurre la collaborazione interna,Perche cosi tutti i deliverable sono pubblici,Per mantenere rintracciabili specifiche e avanzamenti evitando caos e duplicazioni,Per allungare la durata del contratto,C
Cosa indica un altissimo turnover nel team in piena esecuzione,Indifferenza del management,Possibile sintomo di malcontento organizzativo e rischi operativi,Azzeramento di conflitti,Automatica riduzione del budget,B
Come reagire se i test utente mostrano funzionalita che non risolvono il problema del cliente,Consegnare comunque la versione attuale,Tagliare i costi finali,Valutare un rework su specifiche e design con un trade off su tempi e budget,Disabilitare la release per evitare feedback,C
Durante l esecuzione quando e opportuno verificare l adeguatezza del piano di stakeholder engagement,Alla fine del progetto,Quando tutti i deliverable sono completati,Regolarmente per adattare strategie di coinvolgimento in base a reazioni e feedback,Quando il team e in ferie,C
Quale rischio si corre se non si rispettano le procedure di sicurezza previste in esecuzione,Si velocizza il rilascio,Si ottengono certificazioni aggiuntive,Potrebbero emergere sanzioni o incidenti gravi che rallentano o bloccano il progetto,Si riduce il carico dei test,C
Come si gestisce un esigenza di rifattorizzazione tecnica che non modifica lo scope ma incide sui tempi,Si ignora per non impattare la schedule,Si addebita al committente,Si documenta la proposta e si valuta se un ottimizzazione interna rientra nei vincoli di progetto,Si sposta l esigenza a un progetto successivo,C
Se i stakeholder non accettano i deliverable intermedi e chiedono revisioni continue come risponde il team,Accetta ogni richiesta immediatamente,Ignora le revisioni,Collabora con il project manager per aprire formalmente le modifiche e valutare possibili impatti,Elimina la baseline definita,C
Perche in un ambiente agile la comunicazione costante tra team e product owner favorisce l esecuzione,Ritarda la definizione del scope,Riduce la trasparenza,Permette feedback rapidi e un miglior allineamento alle esigenze del cliente,Elimina il project manager,C
Come si integra la gestione dei rischi con la pianificazione operativa nella fase di esecuzione,Si esclude la componente di risk management,Si delega la valutazione dei rischi al cliente,Si tengono monitorati i rischi e si aggiornano i piani secondo l evoluzione reale,Si concentra tutto in chiusura,C
Se un membro chiave del team non rispetta le priorita e lavora su task secondari come intervenire,Ignorare la situazione,Incolpare il fornitore esterno,Fornire indicazioni chiare ed eventualmente correggere l assegnazione di compiti,Apporre penali dirette al membro del team,C
Perche e fondamentale controllare la coerenza tra deliverable effettivi e baseline di scope in corso d opera,Per posticipare la validazione all ultima fase,Per bloccare la qualit,Per evitare di scoprire in ritardo che non si sta realizzando quanto concordato,Per concedere sconti al cliente,C
Come si favorisce la collaborazione del team se le attivita sono frammentate tra piu aree geografiche,Si stabilisce un solo orario di comunicazione,Si lascia che ognuno lavori in silenzio,Si organizzano piattaforme comuni e meeting in fasce orarie concordate,Si rimuovono i report di avanzamento,C
Cosa comporta un eccessivo controllo gerarchico durante l esecuzione,Evita il bisogno di coordinamento,Rende agili le decisioni tecniche,Puo rallentare il flusso di lavoro e la capacita di rispondere rapidamente alle criticita,Facilita l accettazione finale,C
Perche e consigliabile implementare test di integrazione progressivi in un progetto complesso,Per rimandare i bug a fine sviluppo,Perche cosi si ignora la compatibilita dei moduli,Per individuare problemi di compatibilita tra moduli prima del completamento e ridurre i rischi di rework finale,Per obbligare i subfornitori a riunioni settimanali,C
Come agire se i deliverable iniziali risultano funzionali ma il design e criticato dagli utenti coinvolti nei test,Rinunciare alla parte estetica,Condividere la questione con il committente e valutare una rivisitazione in base alle priorita,Imporre un design alternativo senza consultazioni,Ignorare i test,B
Se ci si rende conto che la baseline di tempi non era realistica come adattarsi durante l esecuzione,Azzera la WBS e parte da zero,Tiene la baseline invariata e spera di compensare i ritardi,Informa gli stakeholder e negozia un riassetto di pianificazione adeguato alle reali tempistiche,Penalizza il fornitore di appoggio,C
Qual e l impatto di un processo di validazione intermedio dei deliverable con il cliente,Rende piu complessa la consegna finale,Garantisce allineamento continuo e riduce il rischio di consegnare prodotti non conformi,Espone a possibili penali anticipate,Obbliga il team a ignorare la qualita,B
